,product_id,review_id,noun,adj,rule,polarity_nltk,polarity_textblob
0,Air France,1264175997122945026,initiative,fantastic,1,0.5574,0.4
1,Air France,1264175997122945026,voucher,exchangeable,1,0.0,0.0
2,Air France,1264175997122945026,flights,voucher,7,0.0,0.0
3,Air France,1264172697610645507,pippacrerar,intrinsic,1,0.0,0.0
4,Air France,1264172697610645507,news,more important,1,0.2716,0.45
5,Air France,1264169595809792000,economy,domestic,1,0.0,0.0
6,Air France,1264169595809792000,travel,cheap,3,0.0,0.4
7,Air France,1264169290237911046,fury,european,1,0.0,0.0
8,Air France,1264169290237911046,rules,chaotic,1,-0.4939,0.0
9,Air France,1264167091449577472,soldiers,wounded,1,0.0,0.0
10,Air France,1264165328759721984,jets,modern,1,0.0,0.2
11,Air France,1264165328759721984,burn,equal,3,0.0,0.0
12,Air France,1264165328759721984,it,fully,4,0.0,0.0
13,Air France,1264164432747335681,routes,domestic,1,0.0,0.0
14,Air France,1264164432747335681,transavia,low,1,-0.2732,0.0
15,Air France,1264164432747335681,cost,non low,1,-0.2732,0.0
16,Air France,1264154930736238599,plans,reciprocal,1,0.0,0.0
17,Air France,1264153873775841280,service,scheduled,1,0.0,0.0
18,Air France,1264140888961429506,travel,rocketing,1,0.0,0.0
19,Air France,1264136447268978688,hundreds,potentially,4,0.0,0.0
20,Air France,1264133892111556609,plane,largest,1,0.0,0.0
21,Air France,1264132125219053568,shipping,suspect,1,-0.296,0.0
22,Air France,1264132125219053568,territorial,french,1,0.0,0.0
23,Air France,1264132125219053568,it,time,7,0.0,0.0
24,Air France,1264127830398586881,diddy,little,1,0.0,-0.1875
25,Air France,1264127830398586881,air france,operational,3,0.0,0.0
26,Air France,1264126510228799489,simulator,additional,1,0.0,0.0
27,Air France,1264126422156640256,commenting,tirelessly,4,0.0,0.0
28,Air France,1264123003266195459,this,related,3,0.0,0.0
29,Air France,1264121001081741312,fleet,global,1,0.0,0.0
30,Air France,1264118731590033409,gse,actual,1,0.0,0.0
31,Air France,1264114822049861632,aviationlovers,aviationdaily,1,0.0,0.0
32,Air France,1264110314829856774,aviationlovers,aviationdaily,1,0.0,0.0
33,Air France,1264107609331830786,terminal,lovely,1,0.5859,0.5
34,Air France,1264107609331830786,terminal,new,1,0.0,0.13636363636363635
35,Air France,1264107609331830786,one,old,1,0.0,0.1
36,Air France,1264107609331830786,terminal,awful,3,-0.4588,-1.0
37,Air France,1264105807072890880,morning,good,1,0.4404,0.7
38,Air France,1264105807072890880,air,dose,1,0.0,0.0
39,Air France,1264105807072890880,booking,open,3,0.0,0.0
40,Air France,1264104865585905667,t,currently scheduled,1,0.0,0.0
41,Air France,1264100750378106880,heli,largest,1,0.0,0.0
42,Air France,1264100750378106880,mi,heli,7,0.0,0.0
43,Air France,1264097046929321986,force,typo,7,0.0,0.0
44,Air France,1264097046929321986,it,expla,7,0.0,0.0
45,Air France,1264095875162189824,distancing,social,1,0.0,0.03333333333333333
46,Air France,1264095875162189824,gallery,contemporary,1,0.0,0.16666666666666666
47,Air France,1264095875162189824,queen,distancing,7,0.0,0.0
48,Air France,1264095875162189824,air de paris,gallery,7,0.0,0.0
49,Air France,1264092285869985792,nba,nbatogetherlive,1,0.0,0.0
50,Air France,1264089932701679622,sales,poor,1,-0.4767,-0.4
51,Air France,1264081657566502912,mobilepunch,elloui2,1,0.0,0.0
52,Air France,1264075150288281601,infrastructure,european,1,0.0,0.0
53,Air France,1264057418792595456,pic,wide,1,0.0,-0.1
54,Air France,1264046597719064577,eggs,green,1,0.0,-0.2
55,Air France,1264045481220616197,condolences,sincere,1,0.4019,0.5
56,Air France,1264045481220616197,crash,sad,1,-0.4767,-0.5
57,Air France,1264045481220616197,thought,big,1,0.0,0.0
58,Air France,1264026896917905410,ba,ago,4,0.0,0.0
59,Air France,1264026633326878721,account,tragic,1,-0.4588,-0.75
60,Air France,1264026633326878721,sensors,blocked,1,-0.2732,0.0
61,Air France,1264009545120088064,it,hard,3,-0.1027,-0.2916666666666667
62,Air France,1264005815708585986,scene,colorful,1,0.0,0.3
63,Air France,1264005815708585986,hospita,jewish,1,0.0,0.0
64,Air France,1264002161509359616,jet,largest,1,0.0,0.0
65,Air France,1264002161509359616,air france,permanently,4,0.0,0.0
