,timestamp,tweet_id,text,hashtags,links,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,user_id,username,screen_name,user_location,followers_count,friends_count,user_creation,favourites_count,coordinates,country,retweets,retweeted,lang,company
0,Sat May 23 13:27:12 +0000 2020,1264186116480983040,Air France: End of the Line for A380 Fleet #AvGeekPH #AviationPH #COVID19PH https://t.co/mdSmuqb2xo,"[{'text': 'AvGeekPH', 'indices': [43, 52]}, {'text': 'AviationPH', 'indices': [53, 64]}, {'text': 'COVID19PH', 'indices': [65, 75]}]",https://www.avgeekph.com/air-france-end-of-the-line-for-a380-fleet/,,,,1031150944807833600,AvGeek Philippines (AvGeekPH),avgeekph,Republic of the Philippines,10,32,Sun Aug 19 12:08:37 +0000 2018,7,,,1,False,en,Air France
1,Sat May 23 12:58:29 +0000 2020,1264178890706227200,"@economics @WHorobin Same @BrunoLeMaire who will spare no expense to save Air France and Renault. Waste of money, l… https://t.co/B2LMuHmCmd",[],https://twitter.com/i/web/status/1264178890706227200,1264176117587607555,144274618,economics,446502249,Michael Killian,MichaelKillian1,France,322,411,Sun Dec 25 20:14:42 +0000 2011,13647,,,0,False,en,Air France
2,Sat May 23 12:46:59 +0000 2020,1264175997122945026,Fantastic initiative by AirFrance. All flights booked before March 31 will be exchangeable and refundable (voucher)… https://t.co/n2LcXI9XS0,[],https://twitter.com/i/web/status/1264175997122945026,,,,5648592,Claudio,cpacchierotti,"Rennes, France ",73,62,Mon Apr 30 09:47:41 +0000 2007,24,,,0,False,en,Air France
3,Sat May 23 12:35:10 +0000 2020,1264173023545962498,"So if France and others respond in kind to the UK's quarantine policy, what hope for those air bridges?",[],,,,,1035961415591489537,Richard Scribbles,RichardScribbl1,Spain,1044,953,Sat Sep 01 18:43:43 +0000 2018,19888,,,0,False,en,Air France
4,Sat May 23 12:33:52 +0000 2020,1264172697610645507,"@intrinsic_motiv @PippaCrerar It is because there is more important news in the world, air crash in Pakistan, Hertz… https://t.co/iRnOLgAplY",[],https://twitter.com/i/web/status/1264172697610645507,1264171750545375232,3249628391,intrinsic_motiv,155247816,Phantom2448,Phantom2448,"England, United Kingdom",181,1489,Sun Jun 13 15:46:48 +0000 2010,5774,,,0,False,en,Air France
5,Sat May 23 12:21:33 +0000 2020,1264169595809792000,@Simondrury1 air travel is far too cheap and that’s neither good for environment or domestic economy - why should i… https://t.co/ei3CF69mbf,[],https://twitter.com/i/web/status/1264169595809792000,1264156235760373765,175528537,Simondrury1,964352113,Clive Bailye,TWBFarms,Staffordshire,7117,589,Thu Nov 22 14:22:11 +0000 2012,7792,,,0,False,en,Air France
6,Sat May 23 12:20:20 +0000 2020,1264169290237911046,"European fury at Britain's chaotic quarantine rules and air bridges. https://t.co/lI2YXzoRdX
#Britain #Brexit… https://t.co/tcXz30od6U","[{'text': 'Britain', 'indices': [93, 101]}, {'text': 'Brexit', 'indices': [102, 109]}]",https://mol.im/a/8350219,,,,747585631,Sewuese Bem,SewuBem,**Nigeria**,7317,966,Thu Aug 09 17:15:25 +0000 2012,87558,,,0,False,en,Air France
7,Sat May 23 12:18:21 +0000 2020,1264168792751575040,"@athenakugblenu I remember when air used to be free, like it still is in France, Germany etc.",[],,1264150492738977792,19598048,athenakugblenu,268197096,"I call myself Thieving Seagull, allegedly.",dezlazy,2 weeks from everywhere!,72,508,Fri Mar 18 09:49:41 +0000 2011,2197,,,0,False,en,Air France
8,Sat May 23 12:11:36 +0000 2020,1264167091449577472,9/ Army Air Corps C-46 Commando aircraft with a crew of four and carrying dozens of wounded soldiers to hospitals i… https://t.co/OW1HtVnxnU,[],https://twitter.com/i/web/status/1264167091449577472,1264167089000062977,1091040397311266818,HTF_RTF,1091040397311266818,#HONORTHEFALLEN,HTF_RTF,,757,497,Thu Jan 31 18:27:56 +0000 2019,225,,,0,False,en,Air France
9,Sat May 23 12:06:19 +0000 2020,1264165761859248129,"Air France axes A380, Emirates seen cutting deliveries https://t.co/D64Ou6LcgE via @Y7News",[],https://au.news.yahoo.com/air-france-axes-a380-emirates-184041264.html?soc_src=social-sh&soc_trk=tw,,,,803150700481908736,Jason Birch,JasonBirch0916,,506,4919,Mon Nov 28 08:17:03 +0000 2016,18079,,,0,False,en,Air France
10,Sat May 23 12:04:36 +0000 2020,1264165328759721984,"@profsked Not necessarily. Fuel burn per passenger is about equal to other modern jets if it is fully loaded.

Perh… https://t.co/GqvTDlJPQR",[],https://twitter.com/i/web/status/1264165328759721984,1264002161509359616,711087387523358721,profsked,1175857631346475008,Ihavemedoots,ihavemedoots,Germany,149,364,Sun Sep 22 19:41:31 +0000 2019,30529,,,0,False,en,Air France
11,Sat May 23 12:01:02 +0000 2020,1264164432747335681,"Air France to reduce domestic routes, use its low-cost Transavia to do some of those, replacing HOP (non low-cost a… https://t.co/Q2SWyCtk4o",[],https://twitter.com/i/web/status/1264164432747335681,,,,2496210121,Layovers ✈︎ the air travel podcast,lay_overs,"40,000 feet",1292,969,Thu May 15 11:44:51 +0000 2014,3715,,,0,False,en,Air France
12,Sat May 23 12:00:01 +0000 2020,1264164175212920832,"#ICYMI: Air France To Gradually Resume Operations 

https://t.co/mHdgZiZfNa https://t.co/DNDPEc9xeG","[{'text': 'ICYMI', 'indices': [0, 6]}]",https://airwaysmag.com/airlines/air-france-to-gradually-resume-operations/,,,,54515483,Airways Magazine,airwaysmagazine,,68848,581,Tue Jul 07 11:11:48 +0000 2009,3995,,,3,False,en,Air France
13,Sat May 23 11:23:17 +0000 2020,1264154930736238599,BBC News - Coronavirus: France reveals reciprocal quarantine plans for UK arrivals https://t.co/q650XSzUYw… https://t.co/6qlcKEDrwP,[],https://www.bbc.com/news/uk-52781812,,,,1226545927869038592,Rhys Workman - XSX💚PS5💙Switch❤,RhysWorkman3,United Kingdom,43,348,Sun Feb 09 16:38:48 +0000 2020,677,,,0,False,en,Air France
14,Sat May 23 11:19:05 +0000 2020,1264153873775841280,@FanaAviationMag 23/5/74 (some sources 30/5/74) @Airbus A300 went into scheduled airline service with Air France on… https://t.co/6MniT8tB8d,[],https://twitter.com/i/web/status/1264153873775841280,,1617166627,FanaAviationMag,206733486,José L. Manzella,josemanzella,,636,110,Sat Oct 23 16:02:07 +0000 2010,9672,,,2,False,en,Air France
15,Sat May 23 10:27:29 +0000 2020,1264140888961429506,Britons back 'air bridges' with searches to Italy and France rocketing https://t.co/GYnWN4Zf0x #travel,"[{'text': 'travel', 'indices': [95, 102]}]",https://www.dailymail.co.uk/travel/travel_news/article-8343661/Britons-air-bridges-travel-bubbles-holiday-searches-Italy-France-rocketing.html,,,,2795290919,"PCivalleri, Author",PCivalleri,"Long Beach, CA",4552,3653,Tue Sep 30 15:59:15 +0000 2014,1364,,,0,False,en,Air France
16,Sat May 23 10:09:50 +0000 2020,1264136447268978688,"Seeing things like this really get to me. Potentially hundreds of Air France staff could lose their jobs, aircraft… https://t.co/XeduWVBn85",[],https://twitter.com/i/web/status/1264136447268978688,,,,189324390,Harry,harryjpinnock,"Potters Bar, Hertfodshire",4316,290,Fri Sep 10 23:45:20 +0000 2010,1046,,United Kingdom,1,False,en,Air France
17,Sat May 23 09:59:41 +0000 2020,1264133892111556609,Air France is retiring the Airbus A380. Here's what it was like on the world's largest passenger plane… https://t.co/bDcreO3EId,[],https://twitter.com/i/web/status/1264133892111556609,,,,222656547,GIO DIO,jdio54,United States,126,59,Sat Dec 04 01:48:34 +0000 2010,7509,,,0,False,en,Air France
18,Sat May 23 09:52:39 +0000 2020,1264132125219053568,@OhBrokenBritain @TegoArcanaDei @MailOnline Is it time for an air strike on suspect shipping in French territorial… https://t.co/VqdpJfuPYK,[],https://twitter.com/i/web/status/1264132125219053568,1263955703322075136,976528424,OhBrokenBritain,894994407841308672,Hugh Scott,HughSco98405053,,196,105,Tue Aug 08 18:51:09 +0000 2017,9176,,,0,False,en,Air France
19,Sat May 23 09:35:35 +0000 2020,1264127830398586881,@Little_Stain @b_diddy_ i heard air france is operational again,[],,1264127329049116673,90228003,Little_Stain,74968200,Édith,Edithp_edith,,4794,899,Thu Sep 17 08:46:07 +0000 2009,28659,,,0,False,en,Air France
20,Sat May 23 09:30:21 +0000 2020,1264126510228799489,CAE has been awarded a contract to deliver an additional Pilatus PC-21 full-mission #Simulator for training 🇫🇷… https://t.co/OLJpvS6P5o,"[{'text': 'Simulator', 'indices': [84, 94]}]",https://twitter.com/i/web/status/1264126510228799489,,,,137384014,Shephard News,ShephardNews,,23721,5872,Mon Apr 26 16:00:49 +0000 2010,7618,,,1,False,en,Air France
21,Sat May 23 09:30:00 +0000 2020,1264126422156640256,#AskHardeepPuri @HardeepSPuri  The woman commenting has been working tirelessly with KLM and Air France for strande… https://t.co/mrkVuFobjO,"[{'text': 'AskHardeepPuri', 'indices': [0, 15]}]",https://twitter.com/i/web/status/1264126422156640256,,,,1126873050362908672,Manasvini,Manasvi36306901,,1,20,Fri May 10 15:34:06 +0000 2019,95,,,1,False,en,Air France
22,Sat May 23 09:16:24 +0000 2020,1264123003266195459,"This is a bit related to Air France 296, which crashed in 1988. Pilots were doing a fly-by above Mulhouse-Habsheim… https://t.co/k0CJxoWkYp",[],https://twitter.com/i/web/status/1264123003266195459,1264121339767427075,1133500481441914881,AgainstAries,1133500481441914881,LAX - RoFoxxo,AgainstAries,"California, USA",130,1291,Tue May 28 22:29:08 +0000 2019,8017,,,0,False,en,Air France
23,Sat May 23 09:08:27 +0000 2020,1264121001081741312,"Global airline fleet going to come back substantially more efficient as A380s and 747s put out to pasture

https://t.co/Nzt8ObpXWh",[],https://www.dailymail.co.uk/travel/travel_news/article-8341147/Air-France-axes-A380-Emirates-seen-cutting-deliveries.html,,,,20251280,Jon Slinn ♟,jonslinn,"Hampton, London, UK ",804,780,Fri Feb 06 16:56:54 +0000 2009,4446,,,1,False,en,Air France
24,Sat May 23 08:59:26 +0000 2020,1264118731590033409,"@Your_Energy_YW @MaidEnergyCoop Yes the actual GSE set up is nice but expensive, ours was somewhat simpler a bit mo… https://t.co/POv2mj4cbc",[],https://twitter.com/i/web/status/1264118731590033409,1264103629310623744,1116887413,Your_Energy_YW,87991178,Rob Worthy,Solaflair,Scotland,1749,2506,Fri Nov 06 17:40:04 +0000 2009,1227,,,0,False,en,Air France
